MH_05,LM_30,LM_40,BH_35A,BH_35B,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,AGEGRP,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,PFSCDV,PERS_WGT
1,6,4,1,4,4,1,9,9,3,3,1,9,9,6,1,0,1,1,6,9,4,0,4317.7707
3,6,4,4,4,4,3,1,3,3,3,1,3,3,6,2,0,3,4,4,9,4,0,1101.3946
2,6,4,3,4,4,3,3,3,3,1,3,3,3,6,2,0,1,1,6,9,4,0,1621.6777
4,4,3,3,4,3,3,3,3,1,1,1,3,1,2,2,1,1,1,6,1,1,0,4212.2977
1,6,4,3,4,4,3,9,9,9,3,3,9,9,7,1,0,1,1,6,9,4,0,9202.8843
2,4,3,3,4,3,3,3,3,3,1,1,3,1,2,2,1,1,1,3,3,1,1,1758.2739
2,4,3,1,3,4,2,3,3,3,3,1,3,3,5,1,0,1,1,7,1,1,0,1214.7223
3,5,3,1,4,4,3,3,3,1,3,3,3,3,4,2,0,1,1,7,1,1,0,3077.8199
2,6,4,1,3,3,3,3,3,3,1,1,3,3,7,2,0,3,4,6,9,4,0,4994.228
1,6,4,3,3,4,3,3,3,3,3,3,9,9,7,2,0,3,4,4,9,4,0,3164.556
4,6,3,1,4,3,1,3,3,1,3,1,1,1,2,1,0,1,1,4,9,4,0,7331.0765
1,2,2,3,4,4,3,3,3,3,3,1,3,3,5,1,0,1,2,4,3,1,0,2426.1382
1,6,3,3,4,4,3,3,3,1,1,1,3,1,6,1,0,1,1,6,9,4,0,2330.918
3,6,2,3,1,2,2,3,3,3,1,1,9,9,6,2,0,3,4,2,9,4,1,1261.5076
2,5,4,3,4,3,3,3,3,1,1,1,3,3,1,2,1,4,1,1,3,1,0,63023.3926
3,5,4,1,4,1,3,3,3,1,1,1,1,1,2,2,0,4,2,7,1,1,0,1104.3028
4,6,2,1,1,3,3,3,3,1,3,1,3,3,4,2,0,1,1,2,9,4,1,5693.6981
5,5,4,1,4,3,3,3,3,1,1,1,3,3,3,2,1,1,1,2,1,1,0,19630.647
3,6,4,3,4,4,3,3,3,3,1,1,3,3,7,2,0,1,3,6,9,4,0,13657.0883
2,4,4,3,4,3,3,3,3,3,3,3,3,3,2,1,0,4,1,4,3,1,0,1762.212
4,3,3,3,3,3,3,3,3,1,1,1,3,3,2,2,0,4,4,4,2,1,0,2126.819
3,6,4,3,1,3,3,3,3,3,1,1,3,3,5,2,0,1,1,6,9,4,0,863.1478
1,6,4,1,1,4,3,3,3,3,3,3,3,3,6,1,0,1,1,4,9,4,0,14877.8322
3,5,4,1,4,3,1,3,3,1,1,1,3,3,2,2,0,4,1,7,1,1,0,945.7807
2,5,4,1,4,4,3,3,3,3,3,3,3,1,5,1,0,3,1,6,3,1,0,573.1178
3,6,3,1,4,4,3,3,3,2,1,1,3,3,6,2,0,2,1,4,9,4,0,2156.4292
4,4,4,1,4,4,3,3,3,3,1,1,3,3,3,2,0,1,1,4,1,1,0,1653.4774
3,5,5,1,1,3,3,3,3,2,1,3,3,3,2,2,0,4,1,6,3,1,0,3043.1203
